generation(Wh),datetime,temperature(C),precipitattion(mm),windspeed(m/s),winddirection(degree),humidity(%),airpressure(hPa),irradiance(hr),radiation(MJ/m2),amountofcloud,groundtemperature(C)
0.0,2022-04-01 00:00:00,7.7,,3.1,340,61.0,1017.3,,,9.0,6.1
0.0,2022-04-01 01:00:00,7.1,,2.8,340,67.0,1017.6,,,10.0,6.0
0.0,2022-04-01 02:00:00,6.7,,2.7,320,70.0,1017.4,,,10.0,5.8
0.0,2022-04-01 03:00:00,6.7,,3.1,340,73.0,1017.2,,,9.0,5.3
0.0,2022-04-01 04:00:00,6.6,,3.2,340,71.0,1017.3,,,1.0,4.4
0.0,2022-04-01 05:00:00,6.6,,3.5,340,66.0,1017.5,,,1.0,3.9
1008.0,2022-04-01 06:00:00,6.1,,2.6,340,68.0,1018.0,,,0.0,3.5
25152.0,2022-04-01 07:00:00,6.9,,2.7,340,58.0,1019.0,0.2,,0.0,3.6
107856.0,2022-04-01 08:00:00,8.3,,2.8,360,51.0,1019.5,1.0,,3.0,6.4
195888.0,2022-04-01 09:00:00,9.5,,3.4,20,47.0,1020.0,1.0,,4.0,8.8
238128.0,2022-04-01 10:00:00,10.6,,3.4,20,39.0,1020.3,1.0,,4.0,12.6
356832.0,2022-04-01 11:00:00,11.1,,3.8,70,41.0,1020.3,1.0,,3.0,15.7
343008.0,2022-04-01 12:00:00,10.6,,3.1,50,39.0,1020.0,1.0,,3.0,16.0
373104.0,2022-04-01 13:00:00,11.0,,4.6,90,37.0,1019.3,1.0,,5.0,18.8
329088.0,2022-04-01 14:00:00,11.2,,4.3,70,37.0,1019.0,1.0,,6.0,18.6
271584.0,2022-04-01 15:00:00,10.7,,4.0,90,38.0,1018.6,1.0,,6.0,17.3
141360.0,2022-04-01 16:00:00,10.6,,4.4,90,39.0,1018.4,1.0,,6.0,15.7
59280.0,2022-04-01 17:00:00,9.6,,3.7,70,40.0,1018.4,1.0,,6.0,12.5
6384.0,2022-04-01 18:00:00,9.1,,2.5,50,44.0,1018.6,0.5,,7.0,9.6
0.0,2022-04-01 19:00:00,8.6,,1.4,70,45.0,1018.7,0.0,,7.0,7.3
0.0,2022-04-01 20:00:00,7.8,,0.8,360,50.0,1019.2,,,5.0,6.2
0.0,2022-04-01 21:00:00,7.1,,0.7,340,54.0,1019.7,,,0.0,5.3
0.0,2022-04-01 22:00:00,6.6,,0.8,320,56.0,1019.5,,,0.0,4.5
0.0,2022-04-01 23:00:00,6.1,,1.8,290,59.0,1019.5,,,0.0,3.9
0.0,2022-04-02 00:00:00,5.4,,1.3,270,62.0,1019.6,,,0.0,3.4
0.0,2022-04-02 01:00:00,5.1,,1.7,270,64.0,1019.5,,,0.0,3.0
0.0,2022-04-02 02:00:00,3.6,,0.5,320,71.0,1019.2,,,0.0,2.5
0.0,2022-04-02 03:00:00,3.8,,1.4,320,71.0,1018.8,,,0.0,2.2
0.0,2022-04-02 04:00:00,4.0,,1.0,320,71.0,1018.3,,,0.0,2.0
0.0,2022-04-02 05:00:00,3.5,,0.8,320,73.0,1018.2,,,0.0,1.7
2256.0,2022-04-02 06:00:00,2.7,,0.0,0,79.0,1018.3,,,0.0,1.3
45840.0,2022-04-02 07:00:00,4.3,,0.0,0,77.0,1018.5,0.4,,0.0,2.1
137760.0,2022-04-02 08:00:00,7.3,,0.2,0,67.0,1018.6,1.0,,0.0,5.8
228336.0,2022-04-02 09:00:00,9.8,,1.4,90,57.0,1018.5,1.0,,0.0,11.1
300528.0,2022-04-02 10:00:00,11.3,,1.7,140,46.0,1018.2,1.0,,1.0,15.6
348720.0,2022-04-02 11:00:00,12.5,,2.4,160,40.0,1017.7,1.0,,2.0,19.0
365232.0,2022-04-02 12:00:00,13.8,,2.8,140,39.0,1016.9,1.0,,4.0,18.9
355296.0,2022-04-02 13:00:00,13.8,,3.4,140,42.0,1016.2,0.9,,3.0,21.5
325152.0,2022-04-02 14:00:00,13.6,,3.5,140,46.0,1015.4,0.7,,2.0,19.4
265008.0,2022-04-02 15:00:00,13.9,,3.4,140,44.0,1014.8,1.0,,2.0,21.1
169008.0,2022-04-02 16:00:00,12.9,,3.8,140,50.0,1014.4,1.0,,0.0,19.1
52416.0,2022-04-02 17:00:00,12.4,,3.5,140,52.0,1014.6,1.0,,4.0,16.5
5856.0,2022-04-02 18:00:00,11.5,,3.2,140,55.0,1014.9,1.0,,0.0,12.9
0.0,2022-04-02 19:00:00,10.7,,2.7,160,58.0,1015.3,0.3,,0.0,9.6
0.0,2022-04-02 20:00:00,10.6,,2.4,200,60.0,1015.6,,,0.0,8.3
0.0,2022-04-02 21:00:00,10.3,,2.6,200,60.0,1016.3,,,0.0,7.4
0.0,2022-04-02 22:00:00,10.2,,2.6,230,61.0,1016.5,,,0.0,6.8
0.0,2022-04-02 23:00:00,9.1,,1.1,160,64.0,1016.5,,,3.0,6.2
0.0,2022-04-03 00:00:00,7.9,,0.4,0,69.0,1016.6,,,0.0,5.4
0.0,2022-04-03 01:00:00,7.1,,0.6,70,72.0,1016.6,,,0.0,4.8
0.0,2022-04-03 02:00:00,6.9,,0.6,360,73.0,1016.6,,,0.0,4.3
0.0,2022-04-03 03:00:00,6.0,,1.0,290,77.0,1016.4,,,0.0,3.8
0.0,2022-04-03 04:00:00,6.1,,1.1,340,73.0,1016.2,,,0.0,3.4
0.0,2022-04-03 05:00:00,6.6,,2.2,320,62.0,1016.5,,,0.0,3.1
2400.0,2022-04-03 06:00:00,6.5,,1.7,320,56.0,1016.9,,,0.0,2.8
45600.0,2022-04-03 07:00:00,6.9,,2.1,320,52.0,1017.3,0.5,,0.0,3.2
137760.0,2022-04-03 08:00:00,9.0,,2.1,340,45.0,1017.7,1.0,,0.0,6.6
228960.0,2022-04-03 09:00:00,10.5,,2.2,320,38.0,1018.0,1.0,,0.0,11.0
296592.0,2022-04-03 10:00:00,13.6,,1.4,340,27.0,1018.1,1.0,,0.0,15.8
343104.0,2022-04-03 11:00:00,14.0,,1.2,270,22.0,1018.0,1.0,,0.0,19.3
360432.0,2022-04-03 12:00:00,15.2,,1.8,90,22.0,1017.6,1.0,,0.0,22.1
352896.0,2022-04-03 13:00:00,15.5,,2.9,90,30.0,1017.0,1.0,,0.0,24.0
315648.0,2022-04-03 14:00:00,15.3,,3.2,140,38.0,1016.6,1.0,,0.0,24.8
257136.0,2022-04-03 15:00:00,15.1,,3.7,110,46.0,1016.4,1.0,,3.0,22.8
163536.0,2022-04-03 16:00:00,14.0,,2.7,140,56.0,1016.5,0.5,,4.0,19.7
62352.0,2022-04-03 17:00:00,13.5,,2.7,140,55.0,1016.6,0.9,,1.0,18.1
5664.0,2022-04-03 18:00:00,12.4,,1.8,140,60.0,1017.0,1.0,,2.0,14.7
0.0,2022-04-03 19:00:00,11.2,,2.3,110,67.0,1017.4,0.3,,0.0,11.0
0.0,2022-04-03 20:00:00,10.4,,1.2,70,70.0,1018.0,,,0.0,9.3
0.0,2022-04-03 21:00:00,9.5,,0.8,20,72.0,1018.5,,,1.0,8.1
0.0,2022-04-03 22:00:00,8.9,,0.9,340,75.0,1018.7,,,5.0,7.1
0.0,2022-04-03 23:00:00,8.4,,0.3,0,77.0,1018.7,,,0.0,6.4
0.0,2022-04-04 00:00:00,7.6,,0.9,290,82.0,1018.8,,,0.0,5.8
0.0,2022-04-04 01:00:00,8.0,,2.4,320,81.0,1018.6,,,0.0,5.5
0.0,2022-04-04 02:00:00,7.1,,0.6,320,84.0,1018.4,,,4.0,4.9
0.0,2022-04-04 03:00:00,6.8,,1.1,340,87.0,1018.1,,,0.0,4.5
0.0,2022-04-04 04:00:00,6.8,,1.2,320,87.0,1018.0,,,0.0,4.2
0.0,2022-04-04 05:00:00,5.7,,0.4,0,91.0,1018.0,,,0.0,3.7
3600.0,2022-04-04 06:00:00,5.2,,0.8,290,89.0,1018.4,,,0.0,3.4
49632.0,2022-04-04 07:00:00,6.2,,0.2,0,89.0,1018.7,0.5,,0.0,4.1
137136.0,2022-04-04 08:00:00,9.4,,0.2,0,78.0,1018.8,1.0,,0.0,8.0
228528.0,2022-04-04 09:00:00,12.1,,1.0,340,63.0,1018.7,1.0,,0.0,13.4
297408.0,2022-04-04 10:00:00,14.3,,1.6,320,53.0,1018.4,1.0,,0.0,17.6
335088.0,2022-04-04 11:00:00,16.2,,2.1,90,41.0,1018.1,1.0,,0.0,20.8
358368.0,2022-04-04 12:00:00,17.3,,2.9,50,26.0,1017.2,1.0,,0.0,23.5
347856.0,2022-04-04 13:00:00,16.4,,3.6,180,44.0,1016.8,1.0,,0.0,25.8
317328.0,2022-04-04 14:00:00,16.1,,3.7,160,44.0,1016.6,1.0,,0.0,26.1
259680.0,2022-04-04 15:00:00,16.3,,3.2,140,48.0,1016.2,1.0,,0.0,25.5
169824.0,2022-04-04 16:00:00,15.9,,3.4,140,51.0,1015.6,1.0,,0.0,23.5
63408.0,2022-04-04 17:00:00,14.8,,3.4,140,57.0,1015.3,1.0,,0.0,20.4
5520.0,2022-04-04 18:00:00,13.8,,3.2,140,61.0,1015.2,1.0,,0.0,16.3
0.0,2022-04-04 19:00:00,13.0,,2.9,160,65.0,1015.4,0.3,,0.0,12.6
0.0,2022-04-04 20:00:00,12.7,,2.2,180,66.0,1015.6,,,,10.9
0.0,2022-04-04 21:00:00,12.6,,2.8,200,67.0,1015.7,,,0.0,9.9
0.0,2022-04-04 22:00:00,11.5,,1.6,230,67.0,1015.5,,,0.0,8.9
0.0,2022-04-04 23:00:00,10.8,,0.0,0,64.0,1015.0,,,0.0,7.8
0.0,2022-04-05 00:00:00,9.8,,0.1,0,66.0,1015.2,,,0.0,6.9
0.0,2022-04-05 01:00:00,9.1,,1.1,270,67.0,1014.9,,,0.0,6.4
0.0,2022-04-05 02:00:00,8.5,,1.8,320,69.0,1014.5,,,0.0,5.8
0.0,2022-04-05 03:00:00,8.0,,0.7,320,74.0,1014.1,,,6.0,5.4
0.0,2022-04-05 04:00:00,7.4,,0.4,0,74.0,1013.4,,,5.0,5.0
0.0,2022-04-05 05:00:00,6.7,,0.9,180,75.0,1013.3,,,0.0,4.5
4752.0,2022-04-05 06:00:00,6.5,,0.5,230,79.0,1013.2,,,1.0,3.9
43920.0,2022-04-05 07:00:00,7.5,,0.3,0,74.0,1013.4,0.3,,0.0,5.3
137856.0,2022-04-05 08:00:00,10.4,,0.4,0,68.0,1013.4,0.9,,0.0,8.8
224064.0,2022-04-05 09:00:00,13.6,,1.2,90,51.0,1013.0,1.0,,0.0,14.0
292608.0,2022-04-05 10:00:00,16.5,,1.7,90,35.0,1012.3,1.0,,3.0,18.4
317664.0,2022-04-05 11:00:00,18.0,,1.8,110,25.0,1011.8,1.0,,7.0,21.9
312048.0,2022-04-05 12:00:00,18.8,,2.6,160,30.0,1010.9,1.0,,8.0,24.3
264144.0,2022-04-05 13:00:00,18.7,,2.5,160,33.0,1010.0,1.0,,8.0,25.6
226992.0,2022-04-05 14:00:00,19.6,,2.7,160,25.0,1009.0,1.0,,8.0,26.0
175920.0,2022-04-05 15:00:00,20.1,,2.0,140,22.0,1007.9,1.0,,8.0,25.1
123792.0,2022-04-05 16:00:00,20.2,,1.4,110,26.0,1007.1,0.4,,8.0,23.0
46128.0,2022-04-05 17:00:00,18.3,,1.9,110,36.0,1006.8,0.7,,8.0,20.5
5472.0,2022-04-05 18:00:00,17.0,,2.0,110,41.0,1007.1,0.1,,8.0,17.4
0.0,2022-04-05 19:00:00,16.8,,1.1,340,29.0,1007.5,0.0,,8.0,14.4
0.0,2022-04-05 20:00:00,16.5,,2.6,270,23.0,1007.8,,,8.0,12.7
0.0,2022-04-05 21:00:00,16.0,,2.7,270,23.0,1008.6,,,9.0,11.9
0.0,2022-04-05 22:00:00,15.8,,2.4,270,23.0,1008.9,,,9.0,11.3
0.0,2022-04-05 23:00:00,15.0,,2.0,290,26.0,1008.9,,,9.0,10.6
0.0,2022-04-06 00:00:00,14.3,,1.4,290,26.0,1009.3,,,9.0,9.9
0.0,2022-04-06 01:00:00,14.3,,2.5,290,24.0,1009.4,,,7.0,9.1
0.0,2022-04-06 02:00:00,13.5,,1.5,340,22.0,1009.5,,,9.0,9.1
0.0,2022-04-06 03:00:00,13.1,,2.2,340,19.0,1009.9,,,9.0,8.6
0.0,2022-04-06 04:00:00,11.9,,1.6,360,24.0,1010.2,,,8.0,8.2
0.0,2022-04-06 05:00:00,12.0,,2.9,320,25.0,1010.4,,,4.0,7.5
2736.0,2022-04-06 06:00:00,11.3,,0.8,20,26.0,1010.7,,,0.0,6.5
44112.0,2022-04-06 07:00:00,11.9,,2.4,290,26.0,1010.7,0.0,,0.0,7.4
123216.0,2022-04-06 08:00:00,13.3,,2.3,340,26.0,1010.8,1.0,,0.0,10.2
207024.0,2022-04-06 09:00:00,15.0,,2.5,360,25.0,1010.8,1.0,,0.0,14.5
272352.0,2022-04-06 10:00:00,16.7,,2.5,340,24.0,1010.8,1.0,,0.0,19.1
315312.0,2022-04-06 11:00:00,19.1,,1.7,20,26.0,1010.6,1.0,,0.0,23.3
346128.0,2022-04-06 12:00:00,18.4,,4.1,90,25.0,1010.5,1.0,,2.0,26.1
339168.0,2022-04-06 13:00:00,18.8,,3.5,90,27.0,1010.4,1.0,,0.0,27.9
303552.0,2022-04-06 14:00:00,19.4,,2.9,110,29.0,1009.8,1.0,,0.0,29.2
245520.0,2022-04-06 15:00:00,17.6,,3.5,160,40.0,1009.5,1.0,,0.0,28.3
162912.0,2022-04-06 16:00:00,17.3,,2.9,160,43.0,1008.7,1.0,,0.0,26.3
64368.0,2022-04-06 17:00:00,16.7,,2.6,160,46.0,1008.5,1.0,,0.0,23.1
6960.0,2022-04-06 18:00:00,15.6,,1.8,160,45.0,1008.5,1.0,,0.0,18.8
0.0,2022-04-06 19:00:00,14.0,,2.1,140,50.0,1008.8,0.2,,1.0,14.7
0.0,2022-04-06 20:00:00,13.4,,0.3,0,55.0,1009.4,,,0.0,12.6
0.0,2022-04-06 21:00:00,13.9,,2.8,200,46.0,1009.8,,,0.0,11.3
0.0,2022-04-06 22:00:00,12.9,,1.5,230,50.0,1009.4,,,0.0,10.3
0.0,2022-04-06 23:00:00,11.9,,0.1,0,54.0,1008.8,,,0.0,9.3
0.0,2022-04-07 00:00:00,11.7,,1.1,340,54.0,1008.5,,,0.0,8.5
0.0,2022-04-07 01:00:00,10.7,,0.3,0,53.0,1008.1,,,0.0,8.0
0.0,2022-04-07 02:00:00,10.5,,1.5,340,51.0,1007.2,,,0.0,7.4
0.0,2022-04-07 03:00:00,9.4,,0.1,0,56.0,1006.5,,,0.0,7.0
0.0,2022-04-07 04:00:00,9.7,,1.9,340,49.0,1006.0,,,0.0,6.5
0.0,2022-04-07 05:00:00,10.1,,1.5,360,54.0,1005.8,,,6.0,7.0
1248.0,2022-04-07 06:00:00,10.9,,2.0,340,49.0,1006.3,,,6.0,7.4
30816.0,2022-04-07 07:00:00,11.7,,0.3,0,46.0,1007.0,0.0,,7.0,8.5
46176.0,2022-04-07 08:00:00,13.5,,2.6,360,41.0,1006.8,0.0,,9.0,10.6
66624.0,2022-04-07 09:00:00,12.5,0.2,1.4,200,65.0,1005.9,0.1,,10.0,12.4
42336.0,2022-04-07 10:00:00,14.6,,1.9,340,56.0,1006.9,0.6,,10.0,16.6
264960.0,2022-04-07 11:00:00,13.3,0.4,1.4,340,78.0,1006.7,0.2,,7.0,16.4
283584.0,2022-04-07 12:00:00,17.3,,1.6,230,48.0,1005.7,1.0,,3.0,21.2
312336.0,2022-04-07 13:00:00,18.7,,2.4,250,40.0,1005.0,1.0,,0.0,25.9
289536.0,2022-04-07 14:00:00,19.2,,2.5,270,35.0,1004.0,1.0,,1.0,27.0
242592.0,2022-04-07 15:00:00,20.4,,3.0,250,25.0,1003.3,1.0,,0.0,27.8
149040.0,2022-04-07 16:00:00,20.2,,2.7,320,23.0,1003.0,1.0,,0.0,25.1
66096.0,2022-04-07 17:00:00,20.3,,2.8,340,23.0,1003.4,1.0,,0.0,23.2
6096.0,2022-04-07 18:00:00,19.3,,2.8,340,24.0,1004.3,1.0,,0.0,19.4
0.0,2022-04-07 19:00:00,17.0,,1.1,360,28.0,1005.3,0.3,,0.0,15.0
0.0,2022-04-07 20:00:00,16.7,,1.9,340,26.0,1006.4,,,0.0,12.8
0.0,2022-04-07 21:00:00,16.0,,1.4,320,28.0,1007.3,,,0.0,11.2
0.0,2022-04-07 22:00:00,15.9,,1.6,270,27.0,1007.8,,,0.0,10.4
0.0,2022-04-07 23:00:00,14.7,,1.8,340,32.0,1008.2,,,0.0,9.6
0.0,2022-04-08 00:00:00,14.4,,2.6,340,33.0,1009.0,,,0.0,9.4
0.0,2022-04-08 01:00:00,12.9,,2.5,320,40.0,1009.7,,,0.0,8.7
0.0,2022-04-08 02:00:00,12.2,,3.1,340,42.0,1009.7,,,0.0,8.4
0.0,2022-04-08 03:00:00,10.6,,1.1,20,48.0,1010.2,,,0.0,7.2
0.0,2022-04-08 04:00:00,10.7,,1.5,320,48.0,1010.3,,,0.0,6.8
0.0,2022-04-08 05:00:00,10.0,,2.0,340,50.0,1010.9,,,0.0,6.3
4176.0,2022-04-08 06:00:00,9.6,,1.7,340,49.0,1011.3,,,0.0,5.9
51840.0,2022-04-08 07:00:00,10.7,,1.4,320,47.0,1011.9,0.6,,0.0,6.6
143664.0,2022-04-08 08:00:00,12.6,,0.9,50,51.0,1012.1,1.0,,0.0,10.3
232752.0,2022-04-08 09:00:00,14.4,,1.5,110,47.0,1012.2,1.0,,0.0,15.6
295920.0,2022-04-08 10:00:00,14.7,,1.3,270,42.0,1012.3,1.0,,2.0,20.7
339360.0,2022-04-08 11:00:00,16.6,,3.0,160,49.0,1012.0,1.0,,1.0,24.8
356064.0,2022-04-08 12:00:00,17.2,,2.9,160,49.0,1011.2,1.0,,0.0,28.0
350256.0,2022-04-08 13:00:00,16.9,,3.0,140,48.0,1010.2,1.0,,0.0,29.5
322080.0,2022-04-08 14:00:00,16.8,,3.5,160,53.0,1009.3,1.0,,0.0,30.0
264000.0,2022-04-08 15:00:00,16.3,,3.6,140,58.0,1008.5,1.0,,0.0,29.2
172992.0,2022-04-08 16:00:00,16.1,,3.6,140,56.0,1007.6,1.0,,0.0,27.0
70992.0,2022-04-08 17:00:00,15.9,,3.5,140,59.0,1007.6,1.0,,0.0,23.7
6912.0,2022-04-08 18:00:00,15.3,,2.4,140,60.0,1007.5,1.0,,0.0,19.7
0.0,2022-04-08 19:00:00,14.3,,1.3,160,64.0,1007.3,0.4,,1.0,15.6
0.0,2022-04-08 20:00:00,13.5,,0.2,0,67.0,1007.6,,,0.0,13.3
0.0,2022-04-08 21:00:00,12.6,,0.8,20,66.0,1008.0,,,0.0,11.8
0.0,2022-04-08 22:00:00,13.7,,1.1,270,58.0,1007.8,,,0.0,10.8
0.0,2022-04-08 23:00:00,12.8,,1.3,320,59.0,1007.4,,,0.0,10.1
0.0,2022-04-09 00:00:00,12.9,,0.4,0,59.0,1007.2,,,0.0,9.4
0.0,2022-04-09 01:00:00,12.2,,0.8,340,63.0,1007.0,,,0.0,8.8
0.0,2022-04-09 02:00:00,11.3,,0.6,320,67.0,1006.7,,,3.0,8.4
0.0,2022-04-09 03:00:00,12.4,,0.2,0,65.0,1006.3,,,0.0,7.9
0.0,2022-04-09 04:00:00,10.6,,0.2,0,71.0,1006.0,,,0.0,7.5
0.0,2022-04-09 05:00:00,10.6,,0.3,0,69.0,1005.9,,,0.0,7.4
4032.0,2022-04-09 06:00:00,11.7,,0.5,140,60.0,1006.1,0.0,,0.0,7.2
49488.0,2022-04-09 07:00:00,14.0,,0.2,0,46.0,1006.7,0.4,,0.0,8.6
136368.0,2022-04-09 08:00:00,16.4,,0.6,70,51.0,1006.8,1.0,,0.0,12.5
220560.0,2022-04-09 09:00:00,18.6,,1.9,20,34.0,1006.6,1.0,,0.0,17.5
287904.0,2022-04-09 10:00:00,22.4,,4.4,230,17.0,1006.3,1.0,,0.0,22.6
333504.0,2022-04-09 11:00:00,23.3,,4.9,200,15.0,1006.0,1.0,,0.0,26.7
349824.0,2022-04-09 12:00:00,24.0,,3.1,180,30.0,1005.3,1.0,,0.0,30.1
340992.0,2022-04-09 13:00:00,23.7,,3.3,160,37.0,1004.5,1.0,,0.0,32.9
307536.0,2022-04-09 14:00:00,25.6,,3.1,180,22.0,1004.0,1.0,,0.0,33.5
242064.0,2022-04-09 15:00:00,25.4,,5.1,200,22.0,1003.6,1.0,,0.0,31.8
157152.0,2022-04-09 16:00:00,25.2,,4.4,200,21.0,1003.4,1.0,,0.0,29.6
64032.0,2022-04-09 17:00:00,24.4,,4.3,200,21.0,1003.6,1.0,,0.0,26.7
7536.0,2022-04-09 18:00:00,23.0,,3.3,200,23.0,1004.1,1.0,,0.0,22.8
0.0,2022-04-09 19:00:00,21.3,,3.3,200,25.0,1004.4,0.3,,0.0,19.0
0.0,2022-04-09 20:00:00,20.1,,2.7,200,28.0,1005.2,,,0.0,16.7
0.0,2022-04-09 21:00:00,18.5,,1.3,340,34.0,1006.2,,,0.0,14.9
0.0,2022-04-09 22:00:00,17.8,,1.2,230,39.0,1006.4,,,0.0,14.0
0.0,2022-04-09 23:00:00,17.5,,1.6,290,41.0,1006.4,,,0.0,13.4
0.0,2022-04-10 00:00:00,16.7,,0.6,320,43.0,1006.6,,,0.0,12.4
0.0,2022-04-10 01:00:00,16.1,,1.6,290,45.0,1006.6,,,0.0,11.8
0.0,2022-04-10 02:00:00,16.3,,3.0,290,44.0,1006.3,,,0.0,11.5
0.0,2022-04-10 03:00:00,14.3,,1.6,290,50.0,1006.4,,,0.0,11.3
0.0,2022-04-10 04:00:00,16.5,,3.4,290,40.0,1006.1,,,7.0,11.2
0.0,2022-04-10 05:00:00,12.9,,0.3,0,57.0,1006.3,,,3.0,10.0
4896.0,2022-04-10 06:00:00,12.6,,0.9,20,57.0,1006.8,0.0,,0.0,9.3
51552.0,2022-04-10 07:00:00,14.5,,0.9,320,52.0,1007.3,0.4,,0.0,10.1
136800.0,2022-04-10 08:00:00,18.8,,1.1,20,43.0,1007.6,1.0,,0.0,14.2
221760.0,2022-04-10 09:00:00,20.5,,1.2,250,36.0,1007.7,1.0,,3.0,19.7
288384.0,2022-04-10 10:00:00,23.3,,1.7,360,26.0,1007.8,1.0,,2.0,25.1
338352.0,2022-04-10 11:00:00,25.2,,1.9,160,24.0,1007.5,1.0,,3.0,30.1
329328.0,2022-04-10 12:00:00,23.8,,3.1,140,38.0,1006.8,1.0,,2.0,33.1
317088.0,2022-04-10 13:00:00,23.1,,2.6,140,45.0,1006.2,1.0,,6.0,34.1
287808.0,2022-04-10 14:00:00,22.8,,2.3,140,49.0,1005.8,1.0,,7.0,33.6
181152.0,2022-04-10 15:00:00,22.5,,2.1,140,50.0,1005.2,1.0,,8.0,32.6
173568.0,2022-04-10 16:00:00,20.2,,2.1,110,60.0,1005.0,0.6,,7.0,28.4
64896.0,2022-04-10 17:00:00,22.5,,2.0,140,52.0,1004.6,1.0,,4.0,27.9
8880.0,2022-04-10 18:00:00,20.5,,1.1,180,58.0,1004.9,0.6,,8.0,22.9
0.0,2022-04-10 19:00:00,19.1,,1.0,90,61.0,1005.3,0.0,,7.0,19.3
0.0,2022-04-10 20:00:00,19.9,,2.0,180,51.0,1006.4,,,7.0,17.5
0.0,2022-04-10 21:00:00,19.5,,3.3,230,52.0,1007.1,,,4.0,16.4
0.0,2022-04-10 22:00:00,17.5,,1.7,230,60.0,1007.2,,,6.0,15.0
0.0,2022-04-10 23:00:00,17.6,,1.6,270,61.0,1007.2,,,6.0,14.5
0.0,2022-04-11 00:00:00,16.2,,0.7,230,67.0,1007.2,,,8.0,13.9
0.0,2022-04-11 01:00:00,16.9,,1.4,250,63.0,1007.1,,,7.0,13.4
0.0,2022-04-11 02:00:00,16.1,,1.4,200,68.0,1006.6,,,10.0,13.2
0.0,2022-04-11 03:00:00,16.3,,2.6,200,71.0,1006.4,,,6.0,12.8
0.0,2022-04-11 04:00:00,16.0,,1.5,230,76.0,1006.4,,,5.0,12.3
0.0,2022-04-11 05:00:00,15.7,,1.6,230,78.0,1006.3,,,3.0,12.0
3744.0,2022-04-11 06:00:00,15.8,,1.1,230,81.0,1006.2,0.0,,3.0,11.7
48480.0,2022-04-11 07:00:00,16.8,,0.8,180,77.0,1006.5,0.5,,1.0,12.9
78528.0,2022-04-11 08:00:00,18.7,,1.3,70,71.0,1006.4,1.0,,2.0,16.6
127344.0,2022-04-11 09:00:00,20.1,,1.9,160,62.0,1006.4,1.0,,5.0,21.4
270912.0,2022-04-11 10:00:00,21.6,,0.9,230,60.0,1006.0,0.6,,3.0,23.0
299232.0,2022-04-11 11:00:00,22.2,,2.2,140,57.0,1005.5,1.0,,4.0,30.2
258624.0,2022-04-11 12:00:00,23.2,,3.1,140,58.0,1004.4,1.0,,5.0,33.8
215280.0,2022-04-11 13:00:00,24.4,,3.3,160,52.0,1003.7,1.0,,1.0,36.1
306960.0,2022-04-11 14:00:00,24.0,,4.1,160,52.0,1003.1,1.0,,2.0,35.8
176592.0,2022-04-11 15:00:00,22.7,,3.4,140,60.0,1002.6,1.0,,3.0,35.1
108816.0,2022-04-11 16:00:00,21.1,,4.3,200,64.0,1002.6,0.7,,8.0,28.6
66288.0,2022-04-11 17:00:00,20.9,,4.6,200,70.0,1002.3,0.8,,1.0,27.0
7056.0,2022-04-11 18:00:00,19.9,,4.8,200,74.0,1002.3,1.0,,1.0,23.5
0.0,2022-04-11 19:00:00,19.3,,4.2,230,78.0,1002.1,0.4,,1.0,20.0
0.0,2022-04-11 20:00:00,18.9,,2.7,200,80.0,1002.6,,,0.0,18.5
0.0,2022-04-11 21:00:00,18.2,,1.6,230,83.0,1003.1,,,0.0,17.2
0.0,2022-04-11 22:00:00,18.4,,2.1,230,80.0,1003.4,,,0.0,16.6
0.0,2022-04-11 23:00:00,17.3,,0.5,70,84.0,1003.1,,,0.0,15.7
0.0,2022-04-12 00:00:00,18.8,,1.3,200,77.0,1003.2,,,0.0,15.5
0.0,2022-04-12 01:00:00,17.3,,0.5,230,84.0,1002.9,,,0.0,14.7
0.0,2022-04-12 02:00:00,16.6,,0.6,110,85.0,1002.5,,,0.0,14.3
0.0,2022-04-12 03:00:00,16.2,,0.4,0,88.0,1002.0,,,0.0,13.7
0.0,2022-04-12 04:00:00,16.1,,0.7,290,89.0,1001.9,,,0.0,13.3
0.0,2022-04-12 05:00:00,16.5,,1.3,290,87.0,1002.2,,,1.0,13.4
5856.0,2022-04-12 06:00:00,14.7,,0.4,0,95.0,1002.3,0.0,,1.0,12.8
54336.0,2022-04-12 07:00:00,16.9,,0.2,0,91.0,1002.6,0.5,,0.0,13.8
141600.0,2022-04-12 08:00:00,19.0,,1.0,90,79.0,1002.5,1.0,,0.0,17.7
225648.0,2022-04-12 09:00:00,21.0,,2.2,180,64.0,1001.9,1.0,,5.0,22.3
289488.0,2022-04-12 10:00:00,22.2,,1.4,160,59.0,1001.7,1.0,,2.0,25.0
337440.0,2022-04-12 11:00:00,24.4,,2.3,140,54.0,1001.4,1.0,,0.0,31.9
351696.0,2022-04-12 12:00:00,23.3,,1.9,140,61.0,1000.8,1.0,,0.0,35.1
338880.0,2022-04-12 13:00:00,23.7,,2.9,110,60.0,1000.1,1.0,,0.0,36.7
304320.0,2022-04-12 14:00:00,24.5,,2.6,140,58.0,999.4,1.0,,0.0,37.5
248640.0,2022-04-12 15:00:00,23.8,,2.5,110,61.0,999.0,1.0,,0.0,36.3
164208.0,2022-04-12 16:00:00,22.5,,2.4,140,63.0,998.5,1.0,,0.0,33.9
70224.0,2022-04-12 17:00:00,21.6,,2.2,140,66.0,998.4,1.0,,0.0,30.4
